"accuracy","auc_macro_ovr","avg_batch_inference_time_sec","clutter_leakage_ratio","complexity_entropy","complexity_entropy_normalized","dataset","explanation_runtime_sec","f1_macro","faithfulness_deletion_auc","faithfulness_insertion_auc","max_sensitivity","model","model_size_mb","n_xai_samples","paper_deletion_auc","part_overlap_ratio","precision_macro","recall_macro","stability_cosine_sim","xai_method"
"0.9653","0.9989785722222221","0.007614555450293203",,"10.13829239209493","0.9367105955330967","CIFAR10","0.03663978179295858","0.965293743406342","0.41707140926606245","0.8082625962710762","0.6102512406806151","efficientnet","15.336448669433594","60","0.3738869944028316",,"0.9654042583165291","0.9653","0.713007979415771","gradcam"
"0.9653","0.9989785722222221","0.007584290763440605",,"10.61376396814982","0.9806409978080112","CIFAR10","0.6701382517814636","0.965293743406342","0.4515708817074875","0.707842491819747","0.7857364803552628","efficientnet","15.336448669433594","60","0.45687342044600315",,"0.9654042583165291","0.9653","0.6990868853198158","lime"
"0.9653","0.9989785722222221","0.007443849271097884",,"10.442107105255127","0.9647810486123453","CIFAR10","1.6510624210039775","0.965293743406342","0.5528504821972884","0.5676329383702768","0.7841625029842059","efficientnet","15.336448669433594","60","0.2052008207467522",,"0.9654042583165291","0.9653","0.8374214082956313","shap"
"0.9518","0.9982590944444445","0.002920671012074041",,"10.33731648127238","0.9550990939003563","CIFAR10","0.021198693911234537","0.9517373765272072","0.36881018509921054","0.7700717261338439","0.06044713727508982","resnet18","42.654579162597656","60","0.2146853184095919",,"0.9523082418510798","0.9518000000000001","0.9973845352729162","gradcam"
"0.9518","0.9982590944444445","0.0025543663829279404",,"10.435678148269654","0.9641870558674512","CIFAR10","0.6677857875823975","0.9517373765272072","0.37525784617679847","0.5821671467927291","0.783569972217083","resnet18","42.654579162597656","60","0.3849701842289781",,"0.9523082418510798","0.9518000000000001","0.7074389006321629","lime"
"0.9518","0.9982590944444445","0.002495118985160852",,"10.508076763153076","0.9708762049904436","CIFAR10","1.2113473018010457","0.9517373765272072","0.4050991992244759","0.4654944901436942","0.36371230632066726","resnet18","42.654579162597656","60","0.3054818059188306",,"0.9523082418510798","0.9518000000000001","0.9526767681042354","shap"
"0.6392","0.9526542111111109","0.0010254086016085202",,"10.18147546450297","0.9407004233963988","CIFAR10","0.01924221913019816","0.6352630189469883","0.14913610411408837","0.4078995055543723","0.21874298714101315","simplecnn","1.4951553344726562","60","0.1415220273587883",,"0.7005916108638729","0.6392","0.9790563129716451","gradcam"
"0.6392","0.9526542111111109","0.0009297669505158934",,"10.027169974644979","0.9264436253372298","CIFAR10","0.6500534772872925","0.6352630189469883","0.22353222019599012","0.3394313345457016","0.9729863420128823","simplecnn","1.4951553344726562","60","0.21522765774336633",,"0.7005916108638729","0.6392","0.5412661983321112","lime"
"0.6392","0.9526542111111109","0.0010283298004930392",,"10.494067859649657","0.9695818757448513","CIFAR10","1.1127081950505575","0.6352630189469883","0.2420842945039285","0.29258146418480196","0.37506779929002126","simplecnn","1.4951553344726562","60","0.1554219828156567",,"0.7005916108638729","0.6392","0.9561105168528028","shap"
"0.972","0.9998775510204082","0.01058727502822876","0.048893720912489516","10.079891443252563","0.9313147373891268","FUNNYBIRDS","0.054426320393880206","0.9719044581149844","0.15466521661644098","0.8665253727231595","0.8645325397451719","efficientnet","15.531913757324219","60","0.13717625841535158","0.08708705271992064","0.9738585858585859","0.9719999999999999","0.5077488116428464","gradcam"
