dataset,model,xai_method,composite_score,rank
CIFAR10,resnet18,gradcam,0.8521865849727931,1
CIFAR10,efficientnet,gradcam,0.7173408621137078,2
CIFAR10,resnet18,shap,0.6102631157509085,3
CIFAR10,simplecnn,gradcam,0.5746931516185274,4
CIFAR10,resnet18,lime,0.560949543640263,5
CIFAR10,efficientnet,shap,0.5480294544030807,6
CIFAR10,efficientnet,lime,0.5208461607482524,7
CIFAR10,simplecnn,shap,0.38243869398260383,8
CIFAR10,simplecnn,lime,0.3286275745771129,9
FUNNYBIRDS,efficientnet,gradcam,0.759961497571365,1
FUNNYBIRDS,simplecnn,gradcam,0.7461374663695342,2
FUNNYBIRDS,simplecnn,shap,0.6538456955360066,3
FUNNYBIRDS,resnet18,gradcam,0.6200733490881739,4
FUNNYBIRDS,efficientnet,lime,0.5922869499278075,5
FUNNYBIRDS,efficientnet,shap,0.5052331804656879,6
FUNNYBIRDS,resnet18,shap,0.47975170714919607,7
FUNNYBIRDS,simplecnn,lime,0.4422757421269144,8
FUNNYBIRDS,resnet18,lime,0.27725215987781265,9
