epoch,train_loss,train_acc,test_acc,epoch_time_sec
1,0.4098763029563427,0.86978,0.9524,231.0744388103485
2,0.1750088087810576,0.94054,0.9597,229.54987406730652
3,0.12290371309954673,0.95924,0.9639,230.80400800704956
4,0.09399707768008113,0.96844,0.9665,229.8523986339569
5,0.07664122812900692,0.9733,0.9674,229.52856492996216
6,0.06130077471199445,0.979,0.9686,229.71836280822754
7,0.052513629266824575,0.9822,0.9643,229.56397795677185
8,0.04937632472739322,0.98276,0.9684,229.5095841884613
9,0.042697937671889084,0.98606,0.9687,229.378643989563
10,0.03822157425495097,0.98696,0.9697,229.1202712059021
11,0.036923140253922904,0.98782,0.9642,228.97394156455994
12,0.0325260275787476,0.98878,0.9663,229.3124930858612
13,0.028067234157235943,0.99038,0.9666,229.54382848739624
14,0.03069957392152748,0.98958,0.9689,229.15580296516418
15,0.027832506529778474,0.99048,0.9662,229.2356641292572
16,0.024731923919574184,0.99178,0.9671,229.05578804016113
17,0.024807629937017336,0.99122,0.965,229.36522459983826
18,0.023301100098492462,0.9923,0.9697,229.74091792106628
19,0.02162025898961583,0.99278,0.9674,229.69610404968262
20,0.02154624468663562,0.99278,0.968,229.22544836997986
21,0.021209013898797712,0.99284,0.9637,229.04243898391724
22,0.020322715961840876,0.99338,0.9653,229.2383840084076
