epoch,train_loss,train_acc,test_acc,epoch_time_sec
1,0.36759030565440654,0.87664,0.9239,247.97721815109253
2,0.20739905677750706,0.92984,0.9302,248.75752329826355
3,0.1590886639675498,0.9453,0.9405,276.6091992855072
4,0.13182424255259334,0.95484,0.9371,278.934513092041
5,0.11315496836416424,0.96114,0.9412,278.269291639328
6,0.09900000396303832,0.9666,0.949,280.1561071872711
7,0.08695424271756783,0.97044,0.9438,277.8265163898468
8,0.0769367772788927,0.97404,0.9494,279.03532791137695
9,0.06908308277950623,0.9756,0.9484,242.55312156677246
10,0.0633885110780131,0.97912,0.9472,279.64506912231445
11,0.06063075086113997,0.97876,0.9522,270.0256757736206
12,0.052308078018552626,0.983,0.9448,280.15682578086853
13,0.04976406698096078,0.98332,0.9485,280.61713337898254
14,0.047270115532337224,0.98362,0.9475,281.33702659606934
15,0.042714022920787686,0.98518,0.9508,278.8675820827484
16,0.045173586344086795,0.98482,0.9517,167.15801167488098
17,0.03877966144493315,0.98658,0.9491,163.87944269180298
18,0.041354242424729744,0.9861,0.9518,163.91600823402405
19,0.037232499602544704,0.98714,0.9495,164.46694445610046
20,0.035612302959179505,0.98788,0.9473,164.12440037727356
21,0.03534263330760936,0.98762,0.9505,163.67011857032776
22,0.03259691113696026,0.98942,0.9518,164.25919437408447
