epoch,train_loss,train_acc,test_acc,epoch_time_sec
1,1.6727925616455077,0.3858,0.4331,139.7271785736084
2,1.3666704069519042,0.50894,0.4583,132.99885535240173
3,1.258527618713379,0.55348,0.5255,134.70848679542542
4,1.1887195115661622,0.58222,0.5035,134.27506351470947
5,1.137957610015869,0.59932,0.5381,132.51374793052673
6,1.0959627542877197,0.61408,0.5197,133.07648181915283
7,1.0572768354797364,0.63066,0.5589,133.70373225212097
8,1.0203150003814698,0.64394,0.5907,133.58461236953735
9,0.9855777182006836,0.65668,0.5977,134.00143146514893
10,0.9605766079711914,0.6648,0.6449,133.15817737579346
11,0.9379889226531982,0.67402,0.6337,133.58004808425903
12,0.9154050797271729,0.67928,0.5773,133.42598056793213
13,0.8930346714782715,0.68922,0.6349,133.26372075080872
14,0.8747483654022217,0.69644,0.6499,133.72156381607056
15,0.8575799523162841,0.70202,0.6546,133.51493453979492
16,0.8394203044891357,0.70712,0.6415,133.49203062057495
17,0.8233682865142822,0.7146,0.6222,133.6273214817047
18,0.8111592137908935,0.71872,0.6847,133.2091999053955
19,0.7935741040420532,0.72458,0.6872,133.68851780891418
20,0.7766194445037842,0.7312,0.6594,134.2604205608368
21,0.7649648543167115,0.73398,0.6445,133.2415657043457
22,0.7565573031234741,0.73892,0.6392,133.89485907554626
