epoch,train_loss,train_acc,test_acc,epoch_time_sec
1,1.4891726911497116,0.56824,0.934,215.25278449058533
2,0.9323513115549088,0.7099,0.954,215.37737727165222
3,0.8375464185214042,0.73604,0.966,214.53752827644348
4,0.7846250201022625,0.75146,0.97,214.376220703125
5,0.7455068107485772,0.76438,0.972,214.80978631973267
6,0.7036790484762192,0.7814,0.982,214.33515214920044
7,0.6602925380122662,0.7999,0.98,214.47882747650146
8,0.6041136407750844,0.81974,0.976,215.09813261032104
9,0.5381044814939797,0.84198,0.984,214.4056680202484
10,0.4665997693002224,0.86676,0.976,214.5469455718994
11,0.3907102331578732,0.88752,0.98,214.70003080368042
12,0.3209854199139774,0.9099,0.968,217.49069666862488
13,0.2629168529094756,0.92432,0.966,215.5247700214386
14,0.22392597702726721,0.9356,0.972,217.75516510009766
15,0.18418162343468517,0.94806,0.972,215.6392216682434
16,0.15894444569887595,0.9542,0.958,214.90353775024414
17,0.14022194730255752,0.9591,0.97,214.72913074493408
18,0.12423987398549914,0.96412,0.978,214.50798153877258
19,0.11315797137998976,0.9667,0.97,214.6705403327942
20,0.10491770651567728,0.96908,0.966,215.02049207687378
21,0.09693566806696355,0.97116,0.976,214.33094477653503
22,0.08766689336170443,0.97448,0.966,214.81682586669922
