epoch,train_loss,train_acc,test_acc,epoch_time_sec
1,3.106082041015625,0.11326,0.056,541.5762777328491
2,2.3407702081298827,0.266,0.028,185.08906531333923
3,1.8616223164367676,0.4471,0.072,185.09185981750488
4,1.4967092971801759,0.56822,0.134,183.63189554214478
5,1.275124077835083,0.6277,0.086,184.8946921825409
6,1.1610658695983886,0.6558,0.462,185.2869474887848
7,1.082696858520508,0.67584,0.5,185.22426629066467
8,1.0201952391052247,0.69182,0.052,185.5279049873352
9,0.9740225587081909,0.7033,0.15,184.8212034702301
10,0.9371829970550537,0.7138,0.354,184.32479119300842
11,0.90235047706604,0.7217,0.88,184.80258083343506
12,0.8734011795043946,0.73152,0.962,184.9080469608307
13,0.8498776379966736,0.73642,0.976,184.70654320716858
14,0.8280499180221558,0.74294,0.964,184.51535367965698
15,0.8126441794204712,0.74776,0.974,184.42129516601562
16,0.79931888048172,0.74984,0.964,185.33573651313782
17,0.7822743541336059,0.75772,0.972,184.69796061515808
18,0.7735959089279175,0.75982,0.568,185.29459023475647
19,0.7617807530212403,0.7628,0.972,185.0920605659485
20,0.7456422631454468,0.77062,0.978,184.56408953666687
21,0.7391014994239807,0.77086,0.97,185.42984223365784
22,0.7282903527832031,0.77478,0.964,185.00614976882935
